,ItemId,SubWorkCenter,LastModifiedDate_Hour,LastModifiedDate_Date,count(BoardId),ID,Date,Shift,Hour,Quantity,LineLeader,Bay,DivisionId,CreationDateTime,BreakTime,WorkOrderId,Company,Division,Description,Modality,Revision,BaseUOM,Batch_Management,SerialNumber_Profile,ShelfLife,ShelfLife_Date,MSD,Item_Category,MSLDetails
0,Items-SB-03591404-JP,SB-0001,11,2,12,513,2022-06-02,G,1900-01-01 11:31:50,23,SB_LineLeader_1,SB-0001,3,2022-06-02 03:02:00,0,W-472205,,,Items-SB-03591404-JP,SB,None,None,None,03/01/2023 35:19:32,None,None,None,SB_JP,None
1,Items-SB-03591404-JP,SB-0001,11,2,12,294,2022-06-02,G,1900-01-01 11:31:50,23,SB_LineLeader_1,SB-0001,3,2022-06-02 11:04:00,30,W-389480,,,Items-SB-03591404-JP,SB,None,None,None,03/01/2023 35:19:32,None,None,None,SB_JP,None
2,Items-EE-01947410-JP,EE-0001,12,2,25,377,2022-06-02,G,1900-01-01 12:31:50,26,EE_LineLeader_1,EE-0001,4,2022-06-02 11:06:00,60,W-205583,,,Items-EE-01947410-JP,EE,None,None,None,03/01/2023 35:19:32,None,None,None,EE_JP,None
3,Items-SB-07090191-UK,SB-0001,19,1,17,222,2022-06-01,G,1900-01-01 19:31:50,27,SB_LineLeader_1,SB-0001,3,2022-06-01 06:08:00,30,W-881921,,,Items-SB-07090191-UK,SB,None,None,None,2023-01-03 19:35:32,None,None,None,SB_UK,None
4,Items-SB-07090191-UK,SB-0001,19,1,17,219,2022-06-01,G,1900-01-01 19:31:50,27,SB_LineLeader_1,SB-0001,3,2022-06-01 06:02:00,30,W-881921,,,Items-SB-07090191-UK,SB,None,None,None,2023-01-03 19:35:32,None,None,None,SB_UK,None
5,Items-TS-05745797-BR,TS-0001,16,2,17,445,2022-06-02,G,1900-01-01 16:31:50,48,TS_LineLeader_1,TS-0001,2,2022-06-02 03:08:00,60,W-514549,,,Items-TS-05745797-BR,TS,None,None,None,03/01/2023 35:19:32,None,None,None,TS_BR,None
6,Items-EP-04737482-IN,EP-0001,20,2,9,471,2022-06-02,G,1900-01-01 20:31:50,24,EP_LineLeader_1,EP-0001,1,2022-06-02 03:06:00,0,W-874601,,,Items-EP-04737482-IN,EP,None,None,None,2023-01-03 19:35:32,None,None,None,EP_IN,None
7,Items-EP-04737482-IN,EP-0001,20,2,9,469,2022-06-02,G,1900-01-01 20:31:50,23,EP_LineLeader_1,EP-0001,1,2022-06-02 03:02:00,0,W-874601,,,Items-EP-04737482-IN,EP,None,None,None,2023-01-03 19:35:32,None,None,None,EP_IN,None
8,Items-TS-02922392-CH,TS-0001,12,3,31,800,2022-06-03,G,1900-01-01 12:31:50,44,TS_LineLeader_1,TS-0001,2,2022-06-03 05:04:00,60,W-652227,,,Items-TS-02922392-CH,TS,None,None,None,2023-01-03 35:19:32,None,None,None,TS_CH,None
9,Items-TS-02922392-CH,TS-0001,12,3,31,799,2022-06-03,G,1900-01-01 12:31:50,44,TS_LineLeader_1,TS-0001,2,2022-06-03 05:02:00,0,W-652227,,,Items-TS-02922392-CH,TS,None,None,None,2023-01-03 35:19:32,None,None,None,TS_CH,None
10,Items-TS-02922392-CH,TS-0001,12,3,31,648,2022-06-03,G,1900-01-01 12:31:50,38,TS_LineLeader_1,TS-0001,2,2022-06-03 06:02:00,0,W-485233,,,Items-TS-02922392-CH,TS,None,None,None,2023-01-03 35:19:32,None,None,None,TS_CH,None
11,Items-EE-07197264-UK,EE-0001,20,1,17,9,2022-06-01,G,1900-01-01 20:31:50,22,EE_LineLeader_1,EE-0001,4,2022-06-01 21:18:00,60,W-749816,,,Items-EE-07197264-UK,EE,None,None,None,2023-01-03 35:19:32,None,None,None,EE_UK,None
12,Items-EE-07197264-UK,EE-0001,20,1,17,8,2022-06-01,G,1900-01-01 20:31:50,22,EE_LineLeader_1,EE-0001,4,2022-06-01 21:16:00,0,W-749816,,,Items-EE-07197264-UK,EE,None,None,None,2023-01-03 35:19:32,None,None,None,EE_UK,None
13,Items-EE-07197264-UK,EE-0001,20,1,17,7,2022-06-01,G,1900-01-01 20:31:50,22,EE_LineLeader_1,EE-0001,4,2022-06-01 21:14:00,60,W-749816,,,Items-EE-07197264-UK,EE,None,None,None,2023-01-03 35:19:32,None,None,None,EE_UK,None
14,Items-EE-07197264-UK,EE-0001,20,1,17,2,2022-06-01,G,1900-01-01 20:31:50,21,EE_LineLeader_1,EE-0001,4,2022-06-01 21:04:00,0,W-749816,,,Items-EE-07197264-UK,EE,None,None,None,2023-01-03 35:19:32,None,None,None,EE_UK,None
15,Items-EE-04264866-BR,EE-0001,20,1,12,37,2022-06-01,G,1900-01-01 20:31:50,41,EE_LineLeader_1,EE-0001,4,2022-06-01 21:06:00,60,W-685524,,,Items-EE-04264866-BR,EE,None,None,None,03/01/2023 35:19:32,None,None,None,EE_BR,None
16,Items-EE-08274581-US,EE-0001,15,1,13,64,2022-06-01,G,1900-01-01 15:31:50,20,EE_LineLeader_1,EE-0001,4,2022-06-01 21:16:00,30,W-287757,,,Items-EE-08274581-US,EE,None,None,None,2023-01-03 35:19:32,None,None,None,EE_US,None
17,Items-TS-04419885-CH,TS-0001,19,1,5,75,2022-06-01,G,1900-01-01 19:31:50,21,TS_LineLeader_1,TS-0001,2,2022-06-01 21:16:00,0,W-826468,,,Items-TS-04419885-CH,TS,None,None,None,03/01/2023 35:19:32,None,None,None,TS_CH,None
18,Items-BC-07313892-JP,BC-0001,10,1,13,93,2022-06-01,G,1900-01-01 10:31:50,32,BC_LineLeader_1,BC-0001,5,2022-06-01 21:12:00,60,W-994063,,,Items-BC-07313892-JP,BC,None,None,None,20230103 35-19-32,None,None,None,BC_JP,None
19,Items-EP-06020496-CH,EP-0001,17,1,14,193,2022-06-01,G,1900-01-01 17:31:50,50,EP_LineLeader_1,EP-0001,1,2022-06-01 06:04:00,30,W-891903,,,Items-EP-06020496-CH,EP,None,None,None,2023-01-03 19:35:32,None,None,None,EP_CH,None
20,Items-SB-03591404-JP,SB-0001,12,2,16,519,2022-06-02,G,1900-01-01 12:31:50,24,SB_LineLeader_1,SB-0001,3,2022-06-02 03:14:00,60,W-472205,,,Items-SB-03591404-JP,SB,None,None,None,03/01/2023 35:19:32,None,None,None,SB_JP,None
21,Items-EE-08274581-US,EE-0001,12,1,11,61,2022-06-01,G,1900-01-01 12:31:50,19,EE_LineLeader_1,EE-0001,4,2022-06-01 21:10:00,0,W-287757,,,Items-EE-08274581-US,EE,None,None,None,2023-01-03 35:19:32,None,None,None,EE_US,None
22,Items-EE-08274581-US,EE-0001,12,1,11,59,2022-06-01,G,1900-01-01 12:31:50,19,EE_LineLeader_1,EE-0001,4,2022-06-01 21:06:00,0,W-287757,,,Items-EE-08274581-US,EE,None,None,None,2023-01-03 35:19:32,None,None,None,EE_US,None
23,Items-EP-03466409-IN,EP-0001,14,1,15,230,2022-06-01,G,1900-01-01 14:31:50,40,EP_LineLeader_1,EP-0001,1,2022-06-01 06:04:00,0,W-119391,,,Items-EP-03466409-IN,EP,None,None,None,03/01/2023 35:19:32,None,None,None,EP_IN,None
24,Items-TS-03538389-US,TS-0001,9,2,7,348,2022-06-02,G,1900-01-01 09:31:50,25,TS_LineLeader_1,TS-0001,2,2022-06-02 11:12:00,0,W-577194,,,Items-TS-03538389-US,TS,None,None,None,2023-01-03 19:35:32,None,None,None,TS_US,None
25,Items-TS-03538389-US,TS-0001,9,2,7,346,2022-06-02,G,1900-01-01 09:31:50,24,TS_LineLeader_1,TS-0001,2,2022-06-02 11:08:00,30,W-577194,,,Items-TS-03538389-US,TS,None,None,None,2023-01-03 19:35:32,None,None,None,TS_US,None
26,Items-EE-08274581-US,EE-0001,9,3,2,558,2022-06-03,G,1900-01-01 09:31:50,35,EE_LineLeader_1,EE-0001,4,2022-06-03 06:06:00,0,W-21243,,,Items-EE-08274581-US,EE,None,None,None,2023-01-03 35:19:32,None,None,None,EE_US,None
27,Items-BC-09230895-CH,BC-0001,12,3,11,783,2022-06-03,G,1900-01-01 12:31:50,44,BC_LineLeader_1,BC-0001,5,2022-06-03 05:02:00,0,W-321944,,,Items-BC-09230895-CH,BC,None,None,None,20230103 35-19-32,None,None,None,BC_CH,None
28,Items-BC-09230895-CH,BC-0001,12,3,11,733,2022-06-03,G,1900-01-01 12:31:50,18,BC_LineLeader_1,BC-0001,5,2022-06-03 05:18:00,0,W-724169,,,Items-BC-09230895-CH,BC,None,None,None,20230103 35-19-32,None,None,None,BC_CH,None
29,Items-EE-07197264-UK,EE-0001,11,2,12,363,2022-06-02,G,1900-01-01 11:31:50,27,EE_LineLeader_1,EE-0001,4,2022-06-02 11:04:00,30,W-110916,,,Items-EE-07197264-UK,EE,None,None,None,2023-01-03 35:19:32,None,None,None,EE_UK,None
30,Items-EE-00711445-JP,EE-0001,13,2,17,394,2022-06-02,G,1900-01-01 13:31:50,25,EE_LineLeader_1,EE-0001,4,2022-06-02 11:08:00,30,W-347806,,,Items-EE-00711445-JP,EE,None,None,None,2023-01-03 19:35:32,None,None,None,EE_JP,None
31,Items-BC-09230895-CH,BC-0001,15,3,28,784,2022-06-03,G,1900-01-01 15:31:50,44,BC_LineLeader_1,BC-0001,5,2022-06-03 05:04:00,0,W-321944,,,Items-BC-09230895-CH,BC,None,None,None,20230103 35-19-32,None,None,None,BC_CH,None
32,Items-EE-03921377-JP,EE-0001,14,1,13,135,2022-06-01,G,1900-01-01 14:31:50,37,EE_LineLeader_1,EE-0001,4,2022-06-01 21:12:00,30,W-411354,,,Items-EE-03921377-JP,EE,None,None,None,20230103 35-19-32,None,None,None,EE_JP,None
33,Items-BC-08035102-BR,BC-0001,10,2,5,337,2022-06-02,G,1900-01-01 10:31:50,50,BC_LineLeader_1,BC-0001,5,2022-06-02 11:06:00,0,W-236865,,,Items-BC-08035102-BR,BC,None,None,None,03/01/2023 35:19:32,None,None,None,BC_BR,None
34,Items-TS-03528268-BR,TS-0001,17,3,43,737,2022-06-03,G,1900-01-01 17:31:50,44,TS_LineLeader_1,TS-0001,2,2022-06-03 05:04:00,60,W-501045,,,Items-TS-03528268-BR,TS,None,None,None,2023-01-03 35:19:32,None,None,None,TS_BR,None
35,Items-TS-03528268-BR,TS-0001,17,3,43,736,2022-06-03,G,1900-01-01 17:31:50,44,TS_LineLeader_1,TS-0001,2,2022-06-03 05:02:00,60,W-501045,,,Items-TS-03528268-BR,TS,None,None,None,2023-01-03 35:19:32,None,None,None,TS_BR,None
36,Items-EE-07197264-UK,EE-0001,14,2,14,404,2022-06-02,G,1900-01-01 14:31:50,21,EE_LineLeader_1,EE-0001,4,2022-06-02 11:04:00,0,W-969893,,,Items-EE-07197264-UK,EE,None,None,None,2023-01-03 35:19:32,None,None,None,EE_UK,None
37,Items-EE-04264866-BR,EE-0001,13,1,4,35,2022-06-01,G,1900-01-01 13:31:50,41,EE_LineLeader_1,EE-0001,4,2022-06-01 21:02:00,30,W-685524,,,Items-EE-04264866-BR,EE,None,None,None,03/01/2023 35:19:32,None,None,None,EE_BR,None
38,Items-EE-02512664-IN,EE-0001,17,1,29,279,2022-06-01,G,1900-01-01 17:31:50,24,EE_LineLeader_1,EE-0001,4,2022-06-01 06:14:00,0,W-58736,,,Items-EE-02512664-IN,EE,None,None,None,2023-01-03 35:19:32,None,None,None,EE_IN,None
39,Items-SB-04583531-US,SB-0001,16,3,17,677,2022-06-03,G,1900-01-01 16:31:50,23,SB_LineLeader_1,SB-0001,3,2022-06-03 05:14:00,0,W-479233,,,Items-SB-04583531-US,SB,None,None,None,20230103 35-19-32,None,None,None,SB_US,None
40,Items-TS-06544504-BR,TS-0001,18,1,9,66,2022-06-01,G,1900-01-01 18:31:50,110,TS_LineLeader_1,TS-0001,2,2022-06-01 21:02:00,0,W-959021,,,Items-TS-06544504-BR,TS,None,None,None,20230103 35-19-32,None,None,None,TS_BR,None
41,Items-EP-02518400-IN,EP-0001,9,1,4,250,2022-06-01,G,1900-01-01 09:31:50,65,EP_LineLeader_1,EP-0001,1,2022-06-01 06:02:00,0,W-242223,,,Items-EP-02518400-IN,EP,None,None,None,03/01/2023 35:19:32,None,None,None,EP_IN,None
42,Items-EP-00081648-CH,EP-0001,13,1,6,271,2022-06-01,G,1900-01-01 13:31:50,31,EP_LineLeader_1,EP-0001,1,2022-06-01 06:10:00,0,W-172692,,,Items-EP-00081648-CH,EP,None,None,None,2023-01-03 35:19:32,None,None,None,EP_CH,None
43,Items-EP-00081648-CH,EP-0001,13,1,6,269,2022-06-01,G,1900-01-01 13:31:50,31,EP_LineLeader_1,EP-0001,1,2022-06-01 06:06:00,30,W-172692,,,Items-EP-00081648-CH,EP,None,None,None,2023-01-03 35:19:32,None,None,None,EP_CH,None
44,Items-EE-02512664-IN,EE-0001,15,1,30,277,2022-06-01,G,1900-01-01 15:31:50,24,EE_LineLeader_1,EE-0001,4,2022-06-01 06:10:00,60,W-58736,,,Items-EE-02512664-IN,EE,None,None,None,2023-01-03 35:19:32,None,None,None,EE_IN,None
45,Items-EP-07185699-JP,EP-0001,19,3,12,614,2022-06-03,G,1900-01-01 19:31:50,38,EP_LineLeader_1,EP-0001,1,2022-06-03 06:08:00,60,W-636947,,,Items-EP-07185699-JP,EP,None,None,None,03/01/2023 35:19:32,None,None,None,EP_JP,None
46,Items-BC-00797195-JP,BC-0001,20,2,5,499,2022-06-02,G,1900-01-01 20:31:50,21,BC_LineLeader_1,BC-0001,5,2022-06-02 03:06:00,0,W-143075,,,Items-BC-00797195-JP,BC,None,None,None,20230103 35-19-32,None,None,None,BC_JP,None
47,Items-TS-01921426-IN,TS-0001,13,3,21,625,2022-06-03,G,1900-01-01 13:31:50,40,TS_LineLeader_1,TS-0001,2,2022-06-03 06:02:00,30,W-847710,,,Items-TS-01921426-IN,TS,None,None,None,20230103 35-19-32,None,None,None,TS_IN,None
