Item No_,Lot No_,Bin Code,Zone Code,Quantity,Min_Registering_Date,Days from Registration
149104,IDS-21E2-00039,TMG,TMG,375.0,2022-08-19,149
149104,IDS-21E2-00056,IGS,IGS,175.0,2022-12-05,41
118502,IDS-21E2-00080,IGS,IGS,250.0,2022-11-11,65
124527,IDS-21E2-00080,IGS,IGS,175.0,2021-08-27,506
118502,IDS-21E2-00125,TMG,TMG,200.0,2021-10-14,458
149104,IDS-21E2-00125,TMG,TMG,200.0,2021-06-24,570
149104,IDS-21E2-00340,IGS,IGS,250.0,2022-05-02,258
149104,IDS-21E2-00560,IGS,IGS,250.0,2021-07-01,563
149104,IDS-21E2-00564,IGS,IGS,400.0,2021-02-12,702
700527,IDS-21E2-00320,IGS,IGS,250.0,2021-03-17,669
700527,IDS-21E2-00560,IGS,IGS,175.0,2022-10-12,95
700527,IDS-21E2-00564,IGS,IGS,250.0,2022-02-01,348
700527,IDS-21E2-01140,IGS,IGS,175.0,2022-12-28,18
123248,IDS-21E2-00028,TMG,TMG,175.0,2021-10-13,459
123248,IDS-21E2-00039,IGS,IGS,175.0,2021-02-13,701
123248,IDS-21E2-00039,TMG,TMG,500.0,2021-11-23,418
123248,IDS-21E2-00560,IGS,IGS,425.0,2021-11-09,432
123248,IDS-21E2-00564,TMG,TMG,200.0,2021-11-17,424
106328,IDS-21E2-00039,TMG,TMG,200.0,2021-02-18,696
129315,IDS-21E2-00083,TMG,TMG,175.0,2022-08-07,161
106328,IDS-21E2-00368,TMG,TMG,250.0,2022-05-15,245
129315,IDS-21E2-00560,TMG,TMG,200.0,2021-06-27,567
114559,IDS-21E2-00368,TMG,TMG,250.0,2021-03-23,663
111742,IDS-21E2-00028,IGS,IGS,1200.0,2021-02-16,698
111742,IDS-21E2-00028,TMG,TMG,900.0,2021-04-04,651
111742,IDS-21E2-00039,IGS,IGS,4100.0,2021-02-12,702
111742,IDS-21E2-00039,TMG,TMG,7375.0,2021-02-10,704
116054,IDS-21E2-00039,TMG,TMG,250.0,2022-09-05,132
148935,IDS-21E2-00039,TMG,TMG,175.0,2021-04-20,635
111742,IDS-21E2-00054,IGS,IGS,1825.0,2021-05-11,614
111742,IDS-21E2-00054,TMG,TMG,1225.0,2021-03-17,669
111742,IDS-21E2-00056,IGS,IGS,2025.0,2021-03-14,672
111742,IDS-21E2-00056,TMG,TMG,1200.0,2021-02-28,686
111854,IDS-21E2-00056,TMG,TMG,250.0,2022-09-27,110
111742,IDS-21E2-00080,IGS,IGS,600.0,2021-08-08,525
111742,IDS-21E2-00080,TMG,TMG,900.0,2021-05-28,597
111742,IDS-21E2-00083,IGS,IGS,1550.0,2021-03-20,666
111742,IDS-21E2-00083,TMG,TMG,1825.0,2021-03-06,680
111742,IDS-21E2-00086,IGS,IGS,350.0,2021-11-08,433
111742,IDS-21E2-00086,TMG,TMG,2400.0,2021-09-26,476
111742,IDS-21E2-00101,IGS,IGS,975.0,2021-05-15,610
111742,IDS-21E2-00101,TMG,TMG,650.0,2021-04-29,626
111742,IDS-21E2-00114,IGS,IGS,375.0,2021-12-01,410
111742,IDS-21E2-00114,TMG,TMG,850.0,2021-11-20,421
111742,IDS-21E2-00125,IGS,IGS,1975.0,2021-03-12,674
111742,IDS-21E2-00125,TMG,TMG,2575.0,2021-03-01,685
111742,IDS-21E2-00320,IGS,IGS,175.0,2021-09-20,482
111742,IDS-21E2-00320,TMG,TMG,1175.0,2021-08-08,525
111742,IDS-21E2-00321,IGS,IGS,250.0,2021-09-13,489
111742,IDS-21E2-00324,IGS,IGS,500.0,2021-09-21,481
111742,IDS-21E2-00328,IGS,IGS,450.0,2021-09-09,493
148935,IDS-21E2-00336,TMG,TMG,250.0,2022-02-24,325
111742,IDS-21E2-00337,TMG,TMG,250.0,2021-04-15,640
111742,IDS-21E2-00338,TMG,TMG,175.0,2022-05-08,252
111742,IDS-21E2-00340,TMG,TMG,200.0,2021-08-12,521
111742,IDS-21E2-00348,TMG,TMG,175.0,2021-03-28,658
111742,IDS-21E2-00352,TMG,TMG,175.0,2021-08-27,506
111742,IDS-21E2-00368,IGS,IGS,500.0,2021-08-05,528
111742,IDS-21E2-00368,TMG,TMG,700.0,2021-02-12,702
111742,IDS-21E2-00369,TMG,TMG,175.0,2021-09-13,489
111742,IDS-21E2-00370,TMG,TMG,200.0,2021-12-27,384
111742,IDS-21E2-00372,IGS,IGS,925.0,2021-08-09,524
111742,IDS-21E2-00373,IGS,IGS,200.0,2022-04-10,280
111742,IDS-21E2-00380,IGS,IGS,175.0,2022-03-04,317
111742,IDS-21E2-00380,TMG,TMG,200.0,2022-09-15,122
148935,IDS-21E2-00400,IGS,IGS,175.0,2022-05-06,254
111742,IDS-21E2-00404,TMG,TMG,200.0,2022-09-07,130
111742,IDS-21E2-00432,TMG,TMG,450.0,2022-05-05,255
111742,IDS-21E2-00436,IGS,IGS,200.0,2021-05-18,607
111742,IDS-21E2-00436,TMG,TMG,200.0,2022-05-14,246
111742,IDS-21E2-00437,TMG,TMG,200.0,2022-06-28,201
111742,IDS-21E2-00448,TMG,TMG,200.0,2022-07-21,178
111742,IDS-21E2-00560,IGS,IGS,1450.0,2021-05-31,594
148935,IDS-21E2-00560,IGS,IGS,250.0,2021-11-16,425
111742,IDS-21E2-00560,TMG,TMG,1825.0,2021-03-04,682
111742,IDS-21E2-00561,TMG,TMG,425.0,2022-02-28,321
148935,IDS-21E2-00561,TMG,TMG,175.0,2021-07-18,546
111742,IDS-21E2-00562,IGS,IGS,200.0,2021-02-26,688
111742,IDS-21E2-00562,TMG,TMG,175.0,2021-07-27,537
111742,IDS-21E2-00564,IGS,IGS,2625.0,2021-03-20,666
111742,IDS-21E2-00564,TMG,TMG,2175.0,2021-05-19,606
116054,IDS-21E2-00564,TMG,TMG,200.0,2021-08-12,521
111742,IDS-21E2-00565,IGS,IGS,400.0,2021-08-02,531
111742,IDS-21E2-00566,IGS,IGS,450.0,2022-04-09,281
111742,IDS-21E2-00568,TMG,TMG,250.0,2022-07-03,196
111742,IDS-21E2-00576,IGS,IGS,200.0,2022-01-12,368
111742,IDS-21E2-00576,TMG,TMG,500.0,2021-07-07,557
111742,IDS-21E2-00580,IGS,IGS,350.0,2021-10-30,442
111742,IDS-21E2-00580,TMG,TMG,250.0,2022-12-18,28
111742,IDS-21E2-00592,IGS,IGS,250.0,2022-07-30,169
111742,IDS-21E2-00592,TMG,TMG,425.0,2021-04-21,634
111742,IDS-21E2-00596,TMG,TMG,250.0,2022-12-08,38
111742,IDS-21E2-00608,TMG,TMG,250.0,2022-07-24,175
111742,IDS-21E2-00628,TMG,TMG,375.0,2021-02-19,695
111742,IDS-21E2-00630,IGS,IGS,250.0,2022-07-14,185
111742,IDS-21E2-00660,IGS,IGS,200.0,2022-08-28,140
111742,IDS-21E2-00692,TMG,TMG,175.0,2021-06-12,582
111742,IDS-21E2-00700,TMG,TMG,250.0,2022-09-03,134
111742,IDS-21E2-00816,IGS,IGS,875.0,2022-01-07,373
148935,IDS-21E2-00816,IGS,IGS,175.0,2021-11-08,433
111742,IDS-21E2-00816,TMG,TMG,1250.0,2021-04-08,647
111742,IDS-21E2-00817,IGS,IGS,175.0,2022-01-20,360
111742,IDS-21E2-00817,TMG,TMG,800.0,2021-02-10,704
111742,IDS-21E2-00820,IGS,IGS,375.0,2021-03-16,670
111742,IDS-21E2-00820,TMG,TMG,250.0,2021-08-05,528
111742,IDS-21E2-00821,IGS,IGS,200.0,2021-10-19,453
111742,IDS-21E2-00824,IGS,IGS,425.0,2021-07-09,555
111742,IDS-21E2-00832,IGS,IGS,175.0,2021-07-19,545
111742,IDS-21E2-00880,IGS,IGS,175.0,2022-12-06,40
111742,IDS-21E2-00880,TMG,TMG,650.0,2021-03-30,656
111742,IDS-21E2-00884,TMG,TMG,175.0,2021-04-21,634
111742,IDS-21E2-00944,IGS,IGS,200.0,2021-11-17,424
111742,IDS-21E2-01072,IGS,IGS,450.0,2021-04-14,641
111742,IDS-21E2-01076,TMG,TMG,600.0,2021-12-09,402
111742,IDS-21E2-01078,TMG,TMG,250.0,2021-08-28,505
111742,IDS-21E2-01108,TMG,TMG,250.0,2022-12-31,15
111742,IDS-21E2-01140,TMG,TMG,250.0,2022-06-30,199
131156,IDS-21E2-00028,IGS,IGS,175.0,2021-10-06,466
145433,IDS-21E2-00028,IGS,IGS,425.0,2022-02-11,338
104936,IDS-21E2-00028,TMG,TMG,175.0,2022-01-18,362
131156,IDS-21E2-00039,IGS,IGS,700.0,2021-06-11,583
145433,IDS-21E2-00039,IGS,IGS,175.0,2022-08-12,156
131156,IDS-21E2-00039,TMG,TMG,675.0,2021-05-28,597
145433,IDS-21E2-00039,TMG,TMG,525.0,2021-05-15,610
104936,IDS-21E2-00054,IGS,IGS,175.0,2021-11-25,416
131156,IDS-21E2-00056,TMG,TMG,400.0,2022-05-23,237
131156,IDS-21E2-00080,TMG,TMG,250.0,2021-11-06,435
145433,IDS-21E2-00086,IGS,IGS,250.0,2021-04-15,640
145433,IDS-21E2-00086,TMG,TMG,450.0,2021-05-30,595
145433,IDS-21E2-00101,IGS,IGS,250.0,2021-05-22,603
131156,IDS-21E2-00101,TMG,TMG,250.0,2022-03-14,307
131156,IDS-21E2-00125,IGS,IGS,575.0,2021-03-25,661
145433,IDS-21E2-00372,TMG,TMG,175.0,2021-06-18,576
131156,IDS-21E2-00432,IGS,IGS,200.0,2021-09-08,494
131156,IDS-21E2-00432,TMG,TMG,175.0,2021-10-16,456
145433,IDS-21E2-00564,TMG,TMG,175.0,2021-12-24,387
131156,IDS-21E2-00572,IGS,IGS,200.0,2022-01-17,363
145433,IDS-21E2-00589,IGS,IGS,250.0,2021-06-20,574
104936,IDS-21E2-00624,TMG,TMG,250.0,2021-04-15,640
145433,IDS-21E2-00633,IGS,IGS,250.0,2022-06-25,204
145433,IDS-21E2-00944,TMG,TMG,175.0,2021-03-16,670
117296,IDS-21E2-00039,TMG,TMG,200.0,2022-11-11,65
EII-CNS-CC-0002,IDS-21E2-00083,IGS,IGS,200.0,2022-09-24,113
112806,IDS-21E2-00083,TMG,TMG,250.0,2021-02-14,700
EII-CNS-CC-0002,IDS-21E2-00101,TMG,TMG,250.0,2022-05-20,240
EII-CNS-CC-0002,IDS-21E2-00320,TMG,TMG,250.0,2021-07-13,551
