Id,ItemId,Line No_,Registering Date,Location Code,Zone Code,Bin Code,Description,Item No_,Quantity,Qty_ (Base),Source Type,Source Subtype,Source No_,Source Line No_,Source Subline No_,Source Document,Source Code,Reason Code,No_ Series,Bin Type Code,Cubage,Weight,Journal Template Name,Whse_ Document No_,Whse_ Document Type,Whse_ Document Line No_,Entry Type,Reference Document,Reference No_,User ID,Variant Code
W-749816,Items-EE-07197264-UK,10,Items-EE-07197264-UK.1,194,0,1/6/2022 21:00,7/6/2022 3:48,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,0.1,Unnamed: 15,Unnamed: 16,0.2,0.3,0.4,Unnamed: 20,Unnamed: 21,Unnamed: 22,4165,4165.1,1,0.5,0.6,591,0.7,Unnamed: 30,Unnamed: 31
W-426406,Items-TS-06879613-JP,10,Items-TS-06879613-JP,212,1,1/6/2022 21:00,,,,,,,,0,,,0,1,0,,,,733,733,1,0,0,289,,,
W-243322,Items-BC-03055426-CH,10,Items-BC-03055426-CH,216,0,1/6/2022 21:00,,,,,,,,0,,,1,0,4323,,,,1749,1749,0,0,0,379,,,
W-760167,Items-EE-01947410-JP,100,Items-EE-01947410-JP,180,1,1/6/2022 21:00,6/6/2022 4:33,,,,,,,0,,,0,1,0,,,,2063,2063,1,0,0,925,,,
W-685524,Items-EE-04264866-BR,10,Items-EE-04264866-BR,165,1,1/6/2022 21:00,7/6/2022 5:42,,,,,,,0,,,0,0,0,,,,,,0,0,1,491,0,,
W-670804,Items-EP-03621157-BR,10,Items-EP-03621157-BR,178,0,1/6/2022 21:00,7/6/2022 3:23,,,,,,,0,,,0,1,0,,,,3536,3536,1,0,0,40,0,,
W-666164,Items-BC-04459113-US,10,Items-BC-04459113-US,238,0,1/6/2022 21:00,6/6/2022 5:42,,,,,,,0,,,1,1,0,,,,,,0,0,1,995,,,
W-636341,Items-BC-03358366-US,100,Items-BC-03358366-US,219,1,1/6/2022 21:00,6/6/2022 4:25,,,,,,,0,,,1,0,3722,,,,,,1,0,0,674,0,,
W-287757,Items-EE-08274581-US,100,Items-EE-08274581-US,174,0,1/6/2022 21:00,5/6/2022 1:25,,,,,,,0,,,0,0,0,,,,2895,2895,1,0,0,774,,,
W-959021,Items-TS-06544504-BR,10,Items-TS-06544504-BR,220,1,1/6/2022 21:00,,,,,,,,0,,,1,1,3463,,,,3646,3646,0,0,0,688,,,
