Item No_,Lot No_,Bin Code,Quantity
1000457,IDS-21E2-00416,IGS,136750.0
108259,IDS-21E2-00325,TMG,274050.0
108259,IDS-21E2-00628,IGS,430650.0
110951,IDS-21E2-00368,TMG,400.0
115132,IDS-21E2-00125,TMG,1400.0
117232,IDS-21E2-00056,TMG,6475.0
122106,IDS-21E2-00039,IGS,2975.0
124257,IDS-21E2-00560,IGS,2275.0
137932,IDS-21E2-00372,TMG,9100.0
138531,IDS-21E2-00724,TMG,77750.0
141388,IDS-21E2-00125,IGS,4500.0
145340,IDS-21E2-00876,TMG,51000.0
700536-2,IDS-21E2-00837,IGS,6825.0
EII-CNS-OT-0007,IDS-21E2-00125,TMG,1050.0
EII-CNS-OT-0030,IDS-21E2-00568,IGS,1600.0
1000457,IDS-21E2-00912,IGS,109400.0
1000457,IDS-21E2-00328,IGS,246150.0
102565,IDS-21E2-00432,IGS,39375.0
102565,IDS-21E2-01074,TMG,56250.0
102565,IDS-21E2-00083,TMG,95625.0
103813,IDS-21E2-00564,IGS,7650.0
105581,IDS-21E2-00368,TMG,94375.0
114717,IDS-21E2-00080,IGS,118875.0
115418,IDS-21E2-00083,IGS,30000.0
118270,IDS-21E2-00028,IGS,15300.0
118475,IDS-21E2-00080,TMG,3000.0
119852,IDS-21E2-01076,TMG,628750.0
124914,IDS-21E2-00372,IGS,32900.0
131536,IDS-21E2-00086,TMG,2275.0
132796,IDS-21E2-00028,TMG,9500.0
133133,IDS-21E2-00056,TMG,87450.0
135506,IDS-21E2-00352,TMG,30000.0
137963,IDS-21E2-00388,IGS,45750.0
138531,IDS-21E2-00369,IGS,54425.0
700536-4,IDS-21E2-00432,IGS,21200.0
700567-1,IDS-21E2-00572,IGS,4025.0
EII-CNS-OT-0030,IDS-21E2-00564,TMG,1600.0
102482,IDS-21E2-00625,IGS,750.0
110951,IDS-21E2-00825,IGS,500.0
113854,IDS-21E2-00039,TMG,40425.0
115657,IDS-21E2-00125,IGS,3500.0
117019,IDS-21E2-00083,IGS,26550.0
117019,IDS-21E2-00317,TMG,10325.0
119192,IDS-21E2-00056,TMG,45000.0
119192,IDS-21E2-00114,TMG,26250.0
119852,IDS-21E2-00572,IGS,251500.0
122829,IDS-21E2-00372,TMG,1750.0
123546,IDS-21E2-00568,TMG,15500.0
138212,IDS-21E2-00581,TMG,12800.0
138872,IDS-21E2-00340,TMG,19750.0
140281,IDS-21E2-00083,TMG,3000.0
700536-2,IDS-21E2-00056,TMG,17550.0
700567-1,IDS-21E2-00816,IGS,5750.0
EII-CNS-OT-0008,IDS-21E2-00054,TMG,14450.0
EII-CNS-OT-0025,IDS-21E2-00316,IGS,21400.0
1000457,IDS-21E2-00325,TMG,109400.0
111071,IDS-21E2-00560,TMG,3750.0
111071,IDS-21E2-00560,IGS,9000.0
113014,IDS-21E2-00039,TMG,1000.0
116094,IDS-21E2-00560,IGS,200.0
121793,IDS-21E2-00083,TMG,11400.0
121793,IDS-21E2-00628,TMG,9975.0
123234,IDS-21E2-00816,TMG,6500.0
123234,IDS-21E2-00328,TMG,4550.0
131664,IDS-21E2-00086,TMG,19575.0
135677,IDS-21E2-00561,IGS,18900.0
135722,IDS-21E2-01076,TMG,16400.0
139713,IDS-21E2-00028,IGS,4000.0
141305,IDS-21E2-00125,IGS,7175.0
141305,IDS-21E2-00577,IGS,10250.0
141393,IDS-21E2-00039,TMG,1800.0
142651,IDS-21E2-00352,TMG,400.0
143236,IDS-21E2-00946,IGS,6250.0
145340,IDS-21E2-00328,IGS,40800.0
149244,IDS-21E2-00125,TMG,119700.0
700536-4,IDS-21E2-00039,TMG,100700.0
EII-CNS-OT-0008,IDS-21E2-00560,TMG,15300.0
EII-CNS-OT-0025,IDS-21E2-00636,TMG,26750.0
1000457,IDS-21E2-00320,TMG,902550.0
100676,IDS-21E2-00039,IGS,700.0
102671,IDS-21E2-00039,IGS,177500.0
108259,IDS-21E2-00056,IGS,1487700.0
111742,IDS-21E2-00337,TMG,68750.0
116994,IDS-21E2-00572,IGS,1050.0
119191,IDS-21E2-00384,IGS,4800.0
119852,IDS-21E2-00569,TMG,452700.0
137963,IDS-21E2-00568,TMG,109800.0
138531,IDS-21E2-00562,IGS,225475.0
138872,IDS-21E2-00086,IGS,73075.0
145424,IDS-21E2-00039,TMG,875.0
700536-4,IDS-21E2-00054,TMG,92750.0
EII-CNS-OT-0029,IDS-21E2-00820,TMG,2100.0
100441,IDS-21E2-00086,TMG,12600.0
102565,IDS-21E2-00592,TMG,39375.0
102671,IDS-21E2-00054,TMG,60000.0
104754,IDS-21E2-00086,TMG,1750.0
105581,IDS-21E2-00561,TMG,30200.0
111742,IDS-21E2-00692,TMG,48125.0
112048,IDS-21E2-00028,IGS,108900.0
112048,IDS-21E2-00624,IGS,26400.0
119191,IDS-21E2-00369,IGS,4200.0
119192,IDS-21E2-00820,TMG,15000.0
119396,IDS-21E2-01072,IGS,6000.0
119852,IDS-21E2-00880,IGS,201200.0
128313,IDS-21E2-00372,IGS,2800.0
133133,IDS-21E2-00820,IGS,71550.0
135677,IDS-21E2-00368,TMG,105300.0
135722,IDS-21E2-00564,TMG,18450.0
137932,IDS-21E2-00083,TMG,9100.0
138212,IDS-21E2-00056,IGS,27200.0
139272,IDS-21E2-00576,TMG,9200.0
141663,IDS-21E2-00564,IGS,107625.0
143236,IDS-21E2-00086,TMG,6250.0
148935,IDS-21E2-00039,TMG,525.0
700536-4,IDS-21E2-00125,IGS,18550.0
700536-4,IDS-21E2-00086,TMG,47700.0
100107,IDS-21E2-00608,IGS,1250.0
111742,IDS-21E2-01078,TMG,68750.0
114717,IDS-21E2-00376,TMG,55475.0
115418,IDS-21E2-00101,IGS,12000.0
119852,IDS-21E2-00436,IGS,201200.0
119852,IDS-21E2-00581,TMG,201200.0
119852,IDS-21E2-00433,TMG,628750.0
121969,IDS-21E2-00400,TMG,15800.0
123546,IDS-21E2-00568,IGS,10850.0
125880,IDS-21E2-00316,IGS,11375.0
135677,IDS-21E2-00320,IGS,18900.0
138212,IDS-21E2-00561,IGS,16000.0
138531,IDS-21E2-00349,TMG,54425.0
147755,IDS-21E2-00818,TMG,5400.0
700526-1,IDS-21E2-00852,TMG,4000.0
700536-2,IDS-21E2-00039,TMG,32175.0
700536-2,IDS-21E2-00568,TMG,9750.0
EII-CNS-OT-0025,IDS-21E2-00083,TMG,40125.0
105581,IDS-21E2-00324,IGS,52850.0
109456,IDS-21E2-00125,IGS,1575.0
115418,IDS-21E2-01076,IGS,10500.0
116912,IDS-21E2-00039,TMG,14850.0
119852,IDS-21E2-00596,TMG,804800.0
120887,IDS-21E2-00039,IGS,3800.0
125391,IDS-21E2-00039,IGS,4050.0
132796,IDS-21E2-00356,TMG,7600.0
132796,IDS-21E2-00500,TMG,9500.0
135677,IDS-21E2-00056,TMG,18900.0
140147,IDS-21E2-00039,TMG,1000.0
145340,IDS-21E2-00372,TMG,51000.0
146860,IDS-21E2-00056,TMG,6000.0
148935,IDS-21E2-00336,TMG,750.0
700536-4,IDS-21E2-00083,IGS,26500.0
EII-CNS-OT-0005,IDS-21E2-00054,IGS,1750.0
EII-CNS-OT-0006,IDS-21E2-00368,IGS,750.0
102482,IDS-21E2-00372,TMG,600.0
113854,IDS-21E2-00054,TMG,8250.0
117232,IDS-21E2-00316,IGS,7400.0
118475,IDS-21E2-00125,TMG,2625.0
119396,IDS-21E2-00562,IGS,6000.0
121793,IDS-21E2-00316,IGS,9975.0
124257,IDS-21E2-00039,TMG,5850.0
132796,IDS-21E2-00832,TMG,7600.0
135506,IDS-21E2-00324,TMG,54000.0
137963,IDS-21E2-01073,TMG,45750.0
138531,IDS-21E2-00338,TMG,155500.0
141305,IDS-21E2-00370,TMG,7175.0
141393,IDS-21E2-00448,IGS,2250.0
143236,IDS-21E2-00588,TMG,5000.0
145340,IDS-21E2-00564,IGS,316200.0
700536-3,IDS-21E2-00560,TMG,5775.0
700567-1,IDS-21E2-00336,IGS,5750.0
EII-CNS-OT-0007,IDS-21E2-00101,TMG,1050.0
1000457,IDS-21E2-00688,IGS,109400.0
102671,IDS-21E2-01072,TMG,25000.0
108259,IDS-21E2-00704,TMG,195750.0
