Item No_,Lot No_,Bin Code,Days from Registration
111742,IDS-21E2-00820,TMG,528
112048,IDS-21E2-00816,TMG,702
114717,IDS-21E2-00101,IGS,690
119396,IDS-21E2-01072,IGS,383
120958,IDS-21E2-00596,TMG,272
131536,IDS-21E2-00039,IGS,532
139272,IDS-21E2-00086,IGS,660
145340,IDS-21E2-00372,IGS,649
145340,IDS-21E2-00039,TMG,700
145433,IDS-21E2-00564,TMG,387
EII-CNS-OT-0008,IDS-21E2-00114,TMG,405
1000457,IDS-21E2-00756,TMG,704
1000457,IDS-21E2-00432,TMG,648
102565,IDS-21E2-00574,TMG,189
103557,IDS-21E2-00054,TMG,392
105449,IDS-21E2-00332,TMG,315
105695,IDS-21E2-00086,IGS,341
108259,IDS-21E2-00563,TMG,176
111434,IDS-21E2-00624,IGS,492
112296,IDS-21E2-01012,IGS,239
114717,IDS-21E2-01072,TMG,646
118475,IDS-21E2-00086,IGS,57
119396,IDS-21E2-00816,TMG,576
119852,IDS-21E2-00086,IGS,693
123759,IDS-21E2-00630,IGS,608
127229,IDS-21E2-00344,TMG,139
133014,IDS-21E2-00572,TMG,697
133133,IDS-21E2-00880,IGS,293
133133,IDS-21E2-00578,TMG,268
135383,IDS-21E2-00083,TMG,654
135506,IDS-21E2-00628,TMG,434
142120,IDS-21E2-00368,IGS,259
149244,IDS-21E2-00101,IGS,699
700526-2,IDS-21E2-00628,IGS,483
700536-4,IDS-21E2-00560,TMG,618
EII-CNS-OT-0005,IDS-21E2-00325,IGS,594
EII-CNS-OT-0006,IDS-21E2-01096,TMG,591
102565,IDS-21E2-00054,TMG,568
102565,IDS-21E2-00692,TMG,286
102671,IDS-21E2-00580,IGS,590
105581,IDS-21E2-00562,IGS,29
105663,IDS-21E2-00564,TMG,130
108259,IDS-21E2-00564,IGS,701
108259,IDS-21E2-00704,IGS,530
108641,IDS-21E2-00564,TMG,703
112048,IDS-21E2-00436,TMG,451
114717,IDS-21E2-00564,IGS,679
115418,IDS-21E2-00960,TMG,474
119852,IDS-21E2-00832,TMG,222
123759,IDS-21E2-00564,IGS,641
131886,IDS-21E2-00564,TMG,672
133133,IDS-21E2-00832,IGS,623
135722,IDS-21E2-00086,IGS,546
139895,IDS-21E2-00816,IGS,613
145340,IDS-21E2-00564,IGS,579
149244,IDS-21E2-00320,TMG,318
102671,IDS-21E2-01072,TMG,250
105449,IDS-21E2-01136,TMG,561
105491,IDS-21E2-00568,IGS,559
108259,IDS-21E2-00080,IGS,657
114717,IDS-21E2-00500,TMG,603
114717,IDS-21E2-01092,IGS,268
117019,IDS-21E2-00566,IGS,481
117019,IDS-21E2-00056,IGS,582
118653,IDS-21E2-00564,TMG,435
119852,IDS-21E2-00101,IGS,653
119852,IDS-21E2-00565,IGS,572
119852,IDS-21E2-00114,IGS,623
120768,IDS-21E2-00368,TMG,554
