No_,No_ 2,Description,Search Description,Description 2,Base Unit of Measure,Price Unit Conversion,Type,Inventory Posting Group,Shelf No_,Item Disc_ Group,Allow Invoice Disc_,Statistics Group,Commission Group,Unit Price,Price_Profit Calculation,Profit _,Costing Method,Unit Cost,Standard Cost,Quoted Price(INR),Quoted Price(FCY),Quoted Currency,Standard Cost_,Production BOM No_
135677,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,CN,S001,D667,1,G1,C1,486,536,50,UC,2541,2554,31,26,USD,86,1000456-SMT
119852,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,RM,S001,D654,1,G1,C1,251,301,50,UC,3799,3799,16,49,USD,86,1000456-SMT
147831,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,PM,S003,D667,1,G1,C1,264,314,50,UC,3772,3872,50,6,USD,82,1000456-SMT
105695,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,PM,S007,D666,1,G1,C1,418,468,50,UC,2807,2861,29,9,INR,88,1000456-SMT
141663,,"RoHS,Security Tape","RoHS,Security Tape",,EA,120,0,RM,S001,D655,1,G1,C1,297,347,50,UC,2647,3657,60,4,USD,75,
123546,,"RoHS,DRAM-1","RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",,EA,120,0,PM,S003,D654,1,G1,C1,287,337,50,UC,2823,2824,50,5,INR,91,1000457-SMT
138531,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,PM,S001,D655,1,G1,C1,594,644,50,UC,3919,3509,16,14,USD,83,1000456-SMT
700536-4,,OTCT-650*478*228MM-1000PCS SODIMM-Y,OTCT-650*478*228MM-1000PCS SODIMM-Y,,EA,120,0,RM,S003,D666,1,G1,C1,647,697,50,UC,2382,2706,37,5,INR,98,1000456-SMT
108259,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,PM,S006,D654,1,G1,C1,481,531,50,UC,2753,2753,25,26,INR,78,
106328,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,CN,S001,D666,1,G1,C1,616,666,50,UC,2825,2825,4,7,USD,88,1000457-SMT
1000457,,_RARE_,_RARE_,,EA,120,0,RM,S008,D666,1,G1,C1,300,350,50,UC,2642,2630,17,16,USD,78,
100441,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,RM,S010,D654,1,G1,C1,283,333,50,UC,2815,2815,24,28,USD,96,1000456-SMT
105695,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,RM,S007,D655,1,G1,C1,424,474,50,UC,3798,3098,31,47,INR,76,1000456-SMT
114717,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,PM,S002,D666,1,G1,C1,540,590,50,UC,2748,2748,20,26,USD,78,1000457-SMT
135506,,FUJI-FILTER 02,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,PM,S004,D668,1,G1,C1,402,452,50,UC,2551,2973,36,2,INR,80,1000457-SMT
108259,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,CN,S006,D655,1,G1,C1,418,468,50,UC,3598,3578,3,39,INR,84,
145433,,"RoHS,Label, 5 X 2 inch blank","RoHS,Label, 5 X 2 inch blank",,EA,120,0,CN,S008,D655,1,G1,C1,640,690,50,UC,3931,3536,25,29,INR,95,1000456-SMT
1000457,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,CN,S002,D667,1,G1,C1,605,655,50,UC,3091,3491,43,44,USD,92,
146940,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,RM,S002,D668,1,G1,C1,655,705,50,UC,2535,2525,22,50,USD,82,1000456-SMT
122829,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,PM,S010,D654,1,G1,C1,503,553,50,UC,3233,3237,18,26,INR,99,1000457-SMT
121571,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,PM,S002,D668,1,G1,C1,541,591,50,UC,3141,3471,39,11,INR,75,1000456-SMT
108259,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,PM,S002,D668,1,G1,C1,700,750,50,UC,3858,3845,58,17,USD,93,1000457-SMT
108259,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,RM,S005,D655,1,G1,C1,326,376,50,UC,3190,3190,41,4,INR,81,1000457-SMT
127229,,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS","RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",,EA,120,0,CN,S006,D655,1,G1,C1,743,793,50,UC,3357,3254,1,10,INR,94,1000456-SMT
108259,,"RoHS,Security Tape","RoHS,Security Tape",,EA,120,0,PM,S004,D654,1,G1,C1,252,302,50,UC,3661,3663,53,17,USD,82,1000456-SMT
108259,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,CN,S003,D655,1,G1,C1,657,707,50,UC,2507,2619,57,56,USD,87,1000457-SMT
119852,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,PM,S004,D666,1,G1,C1,303,353,50,UC,3263,3204,2,57,USD,100,1000456-SMT
142120,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,RM,S001,D668,1,G1,C1,450,500,50,UC,3002,3200,21,45,INR,99,1000457-SMT
