ItemId,SubWorkCenter,LastModifiedDate_Date,LastModifiedDate_Hour,BoardId
Items-BC-00078136-US,BC-0001,1,10,6
Items-BC-00078136-US,BC-0001,1,11,8
Items-BC-00078136-US,BC-0001,1,12,15
Items-BC-00078136-US,BC-0001,1,13,8
Items-BC-00078136-US,BC-0001,1,14,13
Items-BC-00078136-US,BC-0001,1,15,7
Items-BC-00078136-US,BC-0001,1,16,12
Items-BC-00078136-US,BC-0001,1,17,6
Items-BC-00078136-US,BC-0001,1,18,10
Items-BC-00078136-US,BC-0001,1,19,8
Items-BC-00078136-US,BC-0001,1,20,7
Items-BC-00078136-US,BC-0001,1,21,4
Items-BC-00078136-US,BC-0001,3,10,19
Items-BC-00078136-US,BC-0001,3,11,21
Items-BC-00078136-US,BC-0001,3,12,21
Items-BC-00078136-US,BC-0001,3,13,15
Items-BC-00078136-US,BC-0001,3,14,4
Items-BC-00078136-US,BC-0001,3,15,4
Items-BC-00078136-US,BC-0001,3,16,5
Items-BC-00078136-US,BC-0001,3,17,5
Items-BC-00078136-US,BC-0001,3,18,9
Items-BC-00078136-US,BC-0001,3,19,8
Items-BC-00078136-US,BC-0001,3,20,8
Items-BC-00078136-US,BC-0001,3,21,6
Items-BC-00078136-US,BC-0001,3,22,5
Items-BC-00078136-US,BC-0001,3,23,4
Items-BC-00078136-US,BC-0001,4,14,4
Items-BC-00078136-US,BC-0001,4,15,11
Items-BC-00078136-US,BC-0001,4,16,8
Items-BC-00078136-US,BC-0001,4,17,7
Items-BC-00078136-US,BC-0001,4,18,11
Items-BC-00078136-US,BC-0001,4,19,18
Items-BC-00078136-US,BC-0001,4,20,15
Items-BC-00078136-US,BC-0001,4,21,10
Items-BC-00078136-US,BC-0001,4,22,11
Items-BC-00078136-US,BC-0001,4,23,6
Items-BC-00078136-US,BC-0001,5,0,3
Items-BC-00078136-US,BC-0001,6,12,5
Items-BC-00078136-US,BC-0001,6,13,5
Items-BC-00078136-US,BC-0001,6,14,6
Items-BC-00078136-US,BC-0001,6,15,3
Items-BC-00078136-US,BC-0001,6,16,6
Items-BC-00078136-US,BC-0001,6,17,4
Items-BC-00078136-US,BC-0001,6,18,6
Items-BC-00078136-US,BC-0001,6,19,6
Items-BC-00078136-US,BC-0001,6,20,3
Items-BC-00078136-US,BC-0001,6,21,4
Items-BC-00078136-US,BC-0001,6,22,5
Items-BC-00078136-US,BC-0001,6,23,2
Items-BC-00078136-US,BC-0001,7,0,4
Items-BC-00078136-US,BC-0001,7,1,6
Items-BC-00078136-US,BC-0001,7,2,3
Items-BC-00078136-US,BC-0001,7,3,4
Items-BC-00078136-US,BC-0001,7,4,3
Items-BC-00078136-US,BC-0001,7,5,5
Items-BC-00078136-US,BC-0001,7,6,5
Items-BC-00078136-US,BC-0001,7,7,4
Items-BC-00078136-US,BC-0001,7,8,3
Items-BC-00078136-US,BC-0001,7,9,4
Items-BC-00078136-US,BC-0001,7,10,4
Items-BC-00078136-US,BC-0001,7,11,9
Items-BC-00078136-US,BC-0001,7,12,9
Items-BC-00078136-US,BC-0001,7,13,8
Items-BC-00078136-US,BC-0001,7,14,6
Items-BC-00078136-US,BC-0001,7,15,6
Items-BC-00078136-US,BC-0001,7,16,11
Items-BC-00078136-US,BC-0001,7,17,13
Items-BC-00078136-US,BC-0001,7,18,14
Items-BC-00078136-US,BC-0001,7,19,11
Items-BC-00078136-US,BC-0001,7,20,12
Items-BC-00078136-US,BC-0001,7,21,7
Items-BC-00078136-US,BC-0001,7,22,8
Items-BC-00078136-US,BC-0001,7,23,7
Items-BC-00078136-US,BC-0001,8,0,2
Items-BC-00078136-US,BC-0001,8,1,4
Items-BC-00078136-US,BC-0001,8,2,4
Items-BC-00078136-US,BC-0001,8,3,4
Items-BC-00078136-US,BC-0001,8,4,5
Items-BC-00078136-US,BC-0001,8,5,2
Items-BC-00366822-IN,BC-0001,2,12,5
