Lot No_,Bin Code,Item No_,Min_Registering_Date,Quantity,Zone Code,Days from Registration
IDS-21E2-00028,IGS,1000457,19-05-2021,1000,IGS,601
IDS-21E2-00028,IGS,102078,08-08-2022,175,IGS,155
IDS-21E2-00028,IGS,102565,28-01-2022,350,IGS,347
IDS-21E2-00028,IGS,102671,13-12-2021,200,IGS,393
IDS-21E2-00028,IGS,105581,15-05-2021,1175,IGS,605
IDS-21E2-00028,IGS,108259,15-03-2021,1625,IGS,666
IDS-21E2-00028,IGS,111742,16-02-2021,1200,IGS,693
IDS-21E2-00028,IGS,112048,27-07-2021,825,IGS,532
IDS-21E2-00028,IGS,113014,27-12-2021,250,IGS,379
IDS-21E2-00028,IGS,114717,17-06-2021,375,IGS,572
IDS-21E2-00028,IGS,117232,10-05-2021,375,IGS,610
IDS-21E2-00028,IGS,118270,17-10-2021,425,IGS,450
IDS-21E2-00028,IGS,118578,06-03-2021,425,IGS,675
IDS-21E2-00028,IGS,119192,17-09-2022,200,IGS,115
IDS-21E2-00028,IGS,119852,12-02-2021,3150,IGS,697
IDS-21E2-00028,IGS,121969,25-04-2021,375,IGS,625
IDS-21E2-00028,IGS,123625,20-09-2022,175,IGS,112
IDS-21E2-00028,IGS,123759,10-05-2021,375,IGS,610
IDS-21E2-00028,IGS,125168,24-12-2021,200,IGS,382
IDS-21E2-00028,IGS,127286,20-10-2022,200,IGS,82
IDS-21E2-00028,IGS,131156,06-10-2021,175,IGS,461
IDS-21E2-00028,IGS,132796,10-09-2022,250,IGS,122
IDS-21E2-00028,IGS,133014,29-03-2021,175,IGS,652
IDS-21E2-00028,IGS,135383,07-01-2022,200,IGS,368
IDS-21E2-00028,IGS,135506,25-10-2022,200,IGS,77
IDS-21E2-00028,IGS,135677,21-02-2021,425,IGS,688
IDS-21E2-00028,IGS,137932,17-02-2021,350,IGS,692
IDS-21E2-00028,IGS,137963,06-09-2022,425,IGS,126
IDS-21E2-00028,IGS,138212,11-09-2021,200,IGS,486
IDS-21E2-00028,IGS,138531,03-12-2021,350,IGS,403
IDS-21E2-00028,IGS,139713,04-02-2022,250,IGS,340
IDS-21E2-00028,IGS,139895,06-05-2021,175,IGS,614
IDS-21E2-00028,IGS,140281,16-04-2021,175,IGS,634
IDS-21E2-00028,IGS,141305,22-02-2022,200,IGS,322
IDS-21E2-00028,IGS,141663,28-10-2022,400,IGS,74
IDS-21E2-00028,IGS,143236,12-06-2021,250,IGS,577
IDS-21E2-00028,IGS,145433,11-02-2022,425,IGS,333
