,ID,Description,Modality,Revision,BaseUOM,Batch_Management,SerialNumber_Profile,ShelfLife,ShelfLife_Date,MSD,Item_Category,MSLDetails
0,C530,Items-SB-06861728-JP,SB,None,None,None,03/01/2023 35:19:32,None,None,None,SB_JP,None
1,C541,Items-EE-04270935-CH,EE,None,None,None,03/01/2023 35:19:32,None,None,None,EE_CH,None
2,C749,Items-EP-02565413-IN,EP,None,None,None,2023-01-03 35:19:32,None,None,None,EP_IN,None
3,C990,Items-BC-06949570-JP,BC,None,None,None,2023-01-03 35:19:32,None,None,None,BC_JP,None
4,C828,Items-BC-02610967-US,BC,None,None,None,20230103 35-19-32,None,None,None,BC_US,None
5,C806,Items-TS-06064368-US,TS,None,None,None,2023-01-03 35:19:32,None,None,None,TS_US,None
6,C995,Items-SB-02330381-US,SB,None,None,None,20230103 35-19-32,None,None,None,SB_US,None
7,C191,Items-BC-03358366-US,BC,None,None,None,2023-01-03 19:35:32,None,None,None,BC_US,None
8,C451,Items-EP-08791802-BR,EP,None,None,None,03/01/2023 35:19:32,None,None,None,EP_BR,None
9,C383,Items-EP-03621157-BR,EP,None,None,None,03/01/2023 35:19:32,None,None,None,EP_BR,None
10,C465,Items-BC-03055426-CH,BC,None,None,None,2023-01-03 19:35:32,None,None,None,BC_CH,None
11,C323,Items-TS-02922392-CH,TS,None,None,None,2023-01-03 35:19:32,None,None,None,TS_CH,None
12,C125,Items-TS-05745797-BR,TS,None,None,None,03/01/2023 35:19:32,None,None,None,TS_BR,None
13,C549,Items-EP-03052349-BR,EP,None,None,None,03/01/2023 35:19:32,None,None,None,EP_BR,None
14,C901,Items-EE-08274581-US,EE,None,None,None,2023-01-03 35:19:32,None,None,None,EE_US,None
15,C316,Items-BC-06673555-BR,BC,None,None,None,20230103 35-19-32,None,None,None,BC_BR,None
16,C559,Items-SB-01922836-JP,SB,None,None,None,2023-01-03 19:35:32,None,None,None,SB_JP,None
17,C922,Items-EE-02425548-JP,EE,None,None,None,03/01/2023 35:19:32,None,None,None,EE_JP,None
18,C268,Items-BC-09230895-CH,BC,None,None,None,20230103 35-19-32,None,None,None,BC_CH,None
