,ID,ItemNo,Date,Shift,Station,Hour,Quantity,LineLeader,Bay,DivisionId,CreationDateTime,BreakTime,WorkOrderId,Company,Division
0,1,Items-EE-07197264-UK,2022-06-01,G,EE-0001,1900-01-01 17:00:00,21,EE_LineLeader_1,EE-0001,4,2022-06-01 21:02:00,0,W-749816,,
1,2,Items-EE-07197264-UK,2022-06-01,G,EE-0001,1900-01-01 20:00:00,21,EE_LineLeader_1,EE-0001,4,2022-06-01 21:04:00,0,W-749816,,
2,3,Items-EE-07197264-UK,2022-06-01,G,EE-0001,1900-01-01 15:00:00,21,EE_LineLeader_1,EE-0001,4,2022-06-01 21:06:00,0,W-749816,,
3,4,Items-EE-07197264-UK,2022-06-01,G,EE-0001,1900-01-01 16:00:00,21,EE_LineLeader_1,EE-0001,4,2022-06-01 21:08:00,60,W-749816,,
4,5,Items-EE-07197264-UK,2022-06-01,G,EE-0001,1900-01-01 09:00:00,22,EE_LineLeader_1,EE-0001,4,2022-06-01 21:10:00,0,W-749816,,
5,6,Items-EE-07197264-UK,2022-06-01,G,EE-0001,1900-01-01 17:00:00,22,EE_LineLeader_1,EE-0001,4,2022-06-01 21:12:00,0,W-749816,,
6,7,Items-EE-07197264-UK,2022-06-01,G,EE-0001,1900-01-01 20:00:00,22,EE_LineLeader_1,EE-0001,4,2022-06-01 21:14:00,60,W-749816,,
7,8,Items-EE-07197264-UK,2022-06-01,G,EE-0001,1900-01-01 20:00:00,22,EE_LineLeader_1,EE-0001,4,2022-06-01 21:16:00,0,W-749816,,
8,9,Items-EE-07197264-UK,2022-06-01,G,EE-0001,1900-01-01 20:00:00,22,EE_LineLeader_1,EE-0001,4,2022-06-01 21:18:00,60,W-749816,,
9,10,Items-TS-06879613-JP,2022-06-01,G,TS-0001,1900-01-01 13:00:00,21,TS_LineLeader_1,TS-0001,2,2022-06-01 21:02:00,60,W-426406,,
10,11,Items-TS-06879613-JP,2022-06-01,G,TS-0001,1900-01-01 19:00:00,21,TS_LineLeader_1,TS-0001,2,2022-06-01 21:04:00,60,W-426406,,
11,12,Items-TS-06879613-JP,2022-06-01,G,TS-0001,1900-01-01 19:00:00,21,TS_LineLeader_1,TS-0001,2,2022-06-01 21:06:00,0,W-426406,,
12,13,Items-TS-06879613-JP,2022-06-01,G,TS-0001,1900-01-01 15:00:00,21,TS_LineLeader_1,TS-0001,2,2022-06-01 21:08:00,0,W-426406,,
13,14,Items-TS-06879613-JP,2022-06-01,G,TS-0001,1900-01-01 09:00:00,21,TS_LineLeader_1,TS-0001,2,2022-06-01 21:10:00,30,W-426406,,
14,15,Items-TS-06879613-JP,2022-06-01,G,TS-0001,1900-01-01 16:00:00,21,TS_LineLeader_1,TS-0001,2,2022-06-01 21:12:00,30,W-426406,,
15,16,Items-TS-06879613-JP,2022-06-01,G,TS-0001,1900-01-01 12:00:00,21,TS_LineLeader_1,TS-0001,2,2022-06-01 21:14:00,0,W-426406,,
16,17,Items-TS-06879613-JP,2022-06-01,G,TS-0001,1900-01-01 14:00:00,21,TS_LineLeader_1,TS-0001,2,2022-06-01 21:16:00,60,W-426406,,
17,18,Items-TS-06879613-JP,2022-06-01,G,TS-0001,1900-01-01 11:00:00,22,TS_LineLeader_1,TS-0001,2,2022-06-01 21:18:00,0,W-426406,,
18,19,Items-TS-06879613-JP,2022-06-01,G,TS-0001,1900-01-01 18:00:00,22,TS_LineLeader_1,TS-0001,2,2022-06-01 21:20:00,0,W-426406,,
19,20,Items-BC-03055426-CH,2022-06-01,G,BC-0001,1900-01-01 18:00:00,43,BC_LineLeader_1,BC-0001,5,2022-06-01 21:02:00,0,W-243322,,
20,21,Items-BC-03055426-CH,2022-06-01,G,BC-0001,1900-01-01 18:00:00,43,BC_LineLeader_1,BC-0001,5,2022-06-01 21:04:00,30,W-243322,,
21,22,Items-BC-03055426-CH,2022-06-01,G,BC-0001,1900-01-01 18:00:00,43,BC_LineLeader_1,BC-0001,5,2022-06-01 21:06:00,30,W-243322,,
22,23,Items-BC-03055426-CH,2022-06-01,G,BC-0001,1900-01-01 09:00:00,43,BC_LineLeader_1,BC-0001,5,2022-06-01 21:08:00,0,W-243322,,
23,24,Items-BC-03055426-CH,2022-06-01,G,BC-0001,1900-01-01 17:00:00,44,BC_LineLeader_1,BC-0001,5,2022-06-01 21:10:00,0,W-243322,,
24,25,Items-EE-01947410-JP,2022-06-01,G,EE-0001,1900-01-01 19:00:00,18,EE_LineLeader_1,EE-0001,4,2022-06-01 21:02:00,0,W-760167,,
25,26,Items-EE-01947410-JP,2022-06-01,G,EE-0001,1900-01-01 19:00:00,18,EE_LineLeader_1,EE-0001,4,2022-06-01 21:04:00,30,W-760167,,
26,27,Items-EE-01947410-JP,2022-06-01,G,EE-0001,1900-01-01 15:00:00,18,EE_LineLeader_1,EE-0001,4,2022-06-01 21:06:00,60,W-760167,,
27,28,Items-EE-01947410-JP,2022-06-01,G,EE-0001,1900-01-01 11:00:00,18,EE_LineLeader_1,EE-0001,4,2022-06-01 21:08:00,60,W-760167,,
28,29,Items-EE-01947410-JP,2022-06-01,G,EE-0001,1900-01-01 09:00:00,18,EE_LineLeader_1,EE-0001,4,2022-06-01 21:10:00,60,W-760167,,
29,30,Items-EE-01947410-JP,2022-06-01,G,EE-0001,1900-01-01 15:00:00,18,EE_LineLeader_1,EE-0001,4,2022-06-01 21:12:00,0,W-760167,,
30,31,Items-EE-01947410-JP,2022-06-01,G,EE-0001,1900-01-01 15:00:00,18,EE_LineLeader_1,EE-0001,4,2022-06-01 21:14:00,30,W-760167,,
31,32,Items-EE-01947410-JP,2022-06-01,G,EE-0001,1900-01-01 10:00:00,18,EE_LineLeader_1,EE-0001,4,2022-06-01 21:16:00,0,W-760167,,
32,33,Items-EE-01947410-JP,2022-06-01,G,EE-0001,1900-01-01 20:00:00,18,EE_LineLeader_1,EE-0001,4,2022-06-01 21:18:00,30,W-760167,,
33,34,Items-EE-01947410-JP,2022-06-01,G,EE-0001,1900-01-01 11:00:00,18,EE_LineLeader_1,EE-0001,4,2022-06-01 21:20:00,0,W-760167,,
34,35,Items-EE-04264866-BR,2022-06-01,G,EE-0001,1900-01-01 13:00:00,41,EE_LineLeader_1,EE-0001,4,2022-06-01 21:02:00,30,W-685524,,
35,36,Items-EE-04264866-BR,2022-06-01,G,EE-0001,1900-01-01 15:00:00,41,EE_LineLeader_1,EE-0001,4,2022-06-01 21:04:00,0,W-685524,,
