Entry No_,Journal Batch Name,Line No_,Registering Date,Location Code,Zone Code,Bin Code,Description,Item No_,Quantity,Qty_ (Base),Source Type,Source Subtype,Source No_,Source Line No_,Source Subline No_,Source Document,Source Code,Reason Code,No_ Series,Bin Type Code,Cubage,Weight,Journal Template Name,Whse_ Document No_,Whse_ Document Type,Whse_ Document Line No_,Entry Type,Reference Document,Reference No_,User ID,Variant Code,Qty_ per Unit of Measure,Unit of Measure Code,Serial No_,Lot No_,Warranty Date,Expiration Date,Phys Invt Counting Period Code,Phys Invt Counting Period Type,Dedicated
1,Unnamed: 1,10000,30-11-2022,SEZ3,TMG,TMG.1,STATIC SHIELDED BAGS OF SIZE 280x220,135677,175,175.1,39,1.1,RM-MIC-0003,2350000,12346,5,PURCHASES,Unnamed: 18,WR-P,RECEIVE,245,146,Unnamed: 23,WR-P-E2-0001,1.2,2350000.1,1.3,1.4,GRN-E2-00320,SHREERESHMI.M,Unnamed: 31,1.5,EA,Unnamed: 34,IDS-21E2-00560,30-05-2026 13:49,08-11-2021 00:00,PC_001,1.6,1.7
2,,10000,18-12-2022,SEZ2,IGS,IGS,STATIC SHIELDED BAGS OF SIZE 280x220,119852,175,175,39,1,RM-MIC-0003,7630000,12347,5,PURCHASES,,WR-P,RECEIVE,180,213,,WR-P-E2-0001,1,650000,1,1,GRN-E2-00158,SHREERESHMI.M,,1,EA,,IDS-21E2-00125,21-02-2027 17:23,08-11-2021 00:00,PC_002,1,1
3,,10000,30-05-2021,SEZ2,IGS,IGS,"RoHS,Label, 4X6 inch",147831,0,0,39,1,RM-MIC-0003,9340000,12347,5,PURCHASES,,WR-P,RECEIVE,238,116,,WR-P-E2-0001,1,3240000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00324,06-07-2025 08:00,08-11-2021 00:00,PC_003,1,1
4,,10000,13-04-2021,SEZ2,IGS,IGS,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/",105695,0,0,39,1,RM-MIC-0003,3260000,12346,5,PURCHASES,,WR-P,RECEIVE,208,148,,WR-P-E2-0001,1,3260000,1,1,GRN-E2-00158,SHREERESHMI.M,,1,EA,,IDS-21E2-00564,20-06-2025 06:00,14-05-2026 00:03,PC_004,1,1
5,,10000,26-12-2021,SEZ3,TMG,TMG,"RoHS,Security Tape",141663,175,175,39,1,RM-MIC-0003,9880000,12345,5,PURCHASES,,WR-P,RECEIVE,162,151,,WR-P-E2-0001,1,9880000,1,1,GRN-E2-00157,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,13-11-2025 06:38,06-05-2026 01:11,PC_005,1,1
6,,10000,01-10-2022,SEZ3,TMG,TMG,"RoHS,DRAM-1",123546,175,175,39,1,RM-MIC-0003,4590000,12345,5,PURCHASES,,WR-P,RECEIVE,134,135,,WR-P-E2-0001,1,3590000,1,1,GRN-E2-00670,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,02-11-2026 02:33,08-11-2021 00:00,PC_003,1,1
7,,10000,20-03-2022,SEZ3,TMG,TMG,STATIC SHIELDED BAGS OF SIZE 280x220,138531,200,200,39,1,RM-MIC-0003,3460000,12345,5,PURCHASES,,WR-P,RECEIVE,112,140,,WR-P-E2-0001,1,7460000,1,1,GRN-E2-00142,SHREERESHMI.M,,1,EA,,IDS-21E2-00326,30-04-2026 22:24,24-07-2025 23:19,PC_003,1,1
8,,10000,15-04-2022,SEZ2,IGS,IGS,OTCT-650*478*228MM-1000PCS SODIMM-Y,700536-4,175,175,39,1,RM-MIC-0003,8360000,56749,5,PURCHASES,,WR-P,RECEIVE,234,233,,WR-P-E2-0001,1,8390000,1,1,GRN-E2-00221,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,07-01-2026 13:00,21-10-2026 00:00,PC_003,1,1
9,,10000,09-04-2022,SEZ2,IGS,IGS,"RoHS CARTON,SINGLE OUTPUT  PSU",108259,0,0,39,1,RM-MIC-0003,10990000,56749,5,PURCHASES,,WR-P,RECEIVE,211,197,,WR-P-E2-0001,1,10490000,1,1,GRN-E2-00190,SHREERESHMI.M,,1,EA,,IDS-21E2-00039,06-06-2025 17:37,21-10-2026 00:00,PC_005,1,1
10,,10000,15-05-2022,SEZ3,TMG,TMG,"RoHS,DRAM-1",106328,250,250,39,1,RM-MIC-0003,7260000,12347,5,PURCHASES,,WR-P,RECEIVE,191,237,,WR-P-E2-0001,1,7260000,1,1,GRN-E2-00159,SHREERESHMI.M,,1,EA,,IDS-21E2-00368,16-06-2026 08:36,08-11-2021 00:00,PC_004,1,1
